Zeit  1 - Langsame Messrate [s]	KMD1 [kN]	Vorne_links-v-control [mm]	Mitte_rechts-v [mm]	Vorne_rechts_v [mm]	Vorne_rechts_h_0_Grad [mm]	Vorne_mitte_h_0_Grad [mm]	Zeit  2 - Langsame Messrate [s]	Vorne_links_h_0_Grad [mm]	Mitte_h_0_Grad_1 [mm]	Mitte_h_0_Grad_2 [mm]	Mitte_h_90_Grad [mm]	Vorne_mitte_h_90_Grad_1 [mm]	Vorne_mitte_h_90_Grad_2 [mm]	Vorne_v_control [mm]	V_Mitte [mm]	Kraftges [kN]	Zeit [s]	Weg_soll []
9,600	-0,00294	0,000	0,000	0,00035	0,000	0,000	9,600	0,000	0,00013	0,000	0,000	0,000	0,000	0,01626	0,000	-0,00407	9,600	-0,04000	
9,800	-0,00369	0,000	0,000	0,00037	0,000	0,000	9,800	0,000	0,00013	0,000	0,000	0,000	0,000	0,01621	0,000	-0,00513	9,800	-0,03667	
10,00	-0,00506	0,000	0,000	0,00040	0,000	0,000	10,00	0,000	0,00013	0,000	0,000	0,000	0,000	0,01654	0,000	-0,00702	10,00	-0,03333	
10,20	-0,00584	0,000	0,000	0,00039	0,000	0,000	10,20	0,000	0,00012	0,000	0,000	0,000	0,000	0,01902	0,000	-0,00813	10,20	-0,03000	
10,40	-0,00156	0,000	0,000	0,00037	0,000	0,000	10,40	0,000	0,00012	0,000	0,000	0,000	0,000	0,02169	0,000	-0,00212	10,40	-0,02667	
10,60	-0,00669	0,000	0,00012	0,00038	0,000	0,000	10,60	0,000	0,00015	0,000	0,000	0,000	0,00014	0,02167	0,000	-0,00928	10,60	-0,02333	
10,80	-0,00085	0,000	0,000	0,00038	0,000	0,000	10,80	0,000	0,00017	-0,00011	0,00016	0,00011	0,00025	0,02096	0,000	-0,00116	10,80	-0,02000	
11,00	0,000	0,000	0,000	0,00038	0,000	0,000	11,00	0,000	0,00016	-0,00011	0,00014	0,00011	0,00026	0,02075	0,000	0,000	11,00	-0,01667	
11,20	-0,00178	0,000	0,000	0,00038	0,000	0,000	11,20	0,000	0,00014	0,000	0,000	0,000	0,00016	0,02017	0,000	-0,00246	11,20	-0,01333	
11,40	0,00193	0,000	0,000	0,00036	0,000	0,000	11,40	0,000	0,00013	0,000	0,000	0,000	0,000	0,01945	0,000	0,00272	11,40	-0,01000	
11,60	-0,00024	0,000	0,000	0,00037	0,000	0,000	11,60	0,000	0,00013	0,000	0,000	0,000	0,000	0,01860	0,000	-0,00032	11,60	-0,00667	
11,80	-0,00451	0,000	0,000	0,00036	0,000	0,000	11,80	0,000	0,00013	0,000	0,000	0,000	0,000	0,01791	0,000	-0,00629	11,80	-0,00333	
12,00	-0,00524	0,000	0,000	0,00034	0,000	0,000	12,00	0,000	0,00013	0,000	0,000	0,000	0,000	0,01736	0,000	-0,00733	12,00	0,000	
12,20	-0,00858	0,000	0,000	0,00037	0,000	0,000	12,20	0,000	0,00013	0,000	0,000	0,000	0,000	0,01693	0,000	-0,01198	12,20	0,00333	
12,40	-0,00842	0,000	0,000	0,00037	0,000	0,000	12,40	0,000	0,00014	0,000	0,000	0,000	0,000	0,01600	0,000	-0,01178	12,40	0,00667	
12,60	-0,00358	0,000	0,000	0,00038	0,000	0,000	12,60	0,000	0,00014	0,000	0,000	0,000	0,000	0,01545	0,000	-0,00498	12,60	0,01000	
12,80	-0,00526	0,000	0,000	0,00038	0,000	0,000	12,80	0,000	0,00014	0,000	0,000	0,000	0,000	0,01576	0,000	-0,00734	12,80	0,01333	
13,00	-0,00417	0,000	0,000	0,00036	0,000	0,000	13,00	0,000	0,00014	0,000	0,000	0,000	0,000	0,01623	0,000	-0,00578	13,00	0,01667	
13,20	-0,00587	0,000	0,00010	0,00037	0,000	0,000	13,20	0,000	0,00014	0,000	0,000	0,000	0,000	0,01686	0,000	-0,00823	13,20	0,02000	
13,40	-0,07122	0,000	0,00011	0,00039	0,000	0,000	13,40	0,000	0,00013	0,000	0,000	0,000	0,000	0,01751	0,000	-0,09972	13,40	0,02333	
13,60	-0,06422	0,000	0,00015	0,00037	0,000	0,000	13,60	0,000	0,00013	0,000	0,000	0,000	0,000	0,01769	0,000	-0,08987	13,60	0,02667	
13,80	-0,00612	0,000	0,000	0,00039	0,000	0,00014	13,80	0,000	0,00014	0,000	0,000	0,000	0,000	0,01745	0,000	-0,00858	13,80	0,03000	
14,00	-0,00728	0,000	0,00011	0,00040	0,000	0,00013	14,00	0,000	0,00014	0,000	0,000	0,000	0,000	0,01742	0,000	-0,01017	14,00	0,03333	
14,20	-0,00571	0,000	0,000	0,00039	0,000	0,000	14,20	0,000	0,00014	0,000	0,000	0,000	0,000	0,01761	0,000	-0,00797	14,20	0,03667	
14,40	-0,00794	0,000	0,000	0,00042	0,000	0,000	14,40	0,000	0,00013	0,000	0,000	0,000	0,000	0,01788	0,000	-0,01109	14,40	0,04000	
14,60	-0,01193	0,000	0,000	0,00041	0,000	0,000	14,60	0,000	0,00013	0,000	0,000	0,000	0,000	0,01821	0,000	-0,01664	14,60	0,04333	
14,80	-0,00234	0,000	0,000	0,00042	0,000	0,000	14,80	0,000	0,00013	0,000	0,000	0,000	0,000	0,01850	0,000	-0,00325	14,80	0,04667	
15,00	-0,00141	0,000	0,000	0,00042	0,000	0,000	15,00	0,000	0,00013	0,000	0,000	0,000	0,000	0,01917	0,000	-0,00193	15,00	0,05000	
15,20	-0,00429	0,000	0,000	0,00041	0,000	0,000	15,20	0,000	0,00013	0,000	0,000	0,000	0,000	0,01943	0,000	-0,00603	15,20	0,05333	
15,40	-0,00013	0,000	0,000	0,00043	0,000	0,000	15,40	0,000	0,00013	0,000	0,000	0,00011	0,000	0,01930	0,000	-0,00015	15,40	0,05667	
15,60	-0,00125	0,000	0,000	0,00044	0,000	0,000	15,60	0,000	0,00013	0,000	0,000	0,00011	0,000	0,01931	0,000	-0,00173	15,60	0,06000	
15,80	-0,00283	0,000	0,000	0,00041	0,000	0,000	15,80	0,000	0,00013	0,000	0,000	0,00010	0,000	0,01937	0,000	-0,00393	15,80	0,06333	
16,00	0,000	0,000	0,000	0,00043	0,000	0,000	16,00	0,000	0,00013	0,000	0,000	0,000	0,000	0,01939	0,000	0,000	16,00	0,06667	
16,20	-0,00417	0,000	0,000	0,00042	0,000	0,000	16,20	0,000	0,00014	0,000	0,000	0,000	0,000	0,01931	0,000	-0,00581	16,20	0,07000	
16,40	-0,00220	0,000	0,00011	0,00043	0,000	0,000	16,40	0,000	0,00014	0,000	0,000	0,00010	0,000	0,01912	0,000	-0,00304	16,40	0,07333	
16,60	0,00192	0,000	0,000	0,00043	0,000	0,000	16,60	0,000	0,00014	0,000	0,000	0,00010	0,000	0,01901	0,000	0,00272	16,60	0,07667	
16,80	-0,00399	0,000	0,000	0,00045	0,000	0,000	16,80	0,000	0,00014	0,000	0,000	0,00010	0,000	0,01915	0,000	-0,00550	16,80	0,08000	
17,00	-0,00756	0,000	0,000	0,00045	0,000	0,000	17,00	0,000	0,00013	0,000	0,000	0,00011	0,000	0,01970	0,000	-0,01054	17,00	0,08333	
17,20	-0,00218	0,000	0,000	0,00045	0,000	0,000	17,20	0,000	0,00013	0,000	0,000	0,00011	0,000	0,02071	0,000	-0,00300	17,20	0,08667	
17,40	-0,00057	0,000	0,000	0,00045	0,000	0,000	17,40	0,000	0,00012	0,000	0,000	0,00011	0,000	0,02126	0,000	-0,00071	17,40	0,09000	
17,60	-0,00217	0,000	0,000	0,00047	0,000	0,000	17,60	0,000	0,00011	0,000	0,000	0,00010	0,000	0,02122	0,000	-0,00300	17,60	0,09333	
17,80	-0,00527	0,000	0,000	0,00045	0,000	0,000	17,80	0,000	0,00012	0,000	0,000	0,00010	0,000	0,02110	0,000	-0,00733	17,80	0,09667	
18,00	0,00042	0,000	0,000	0,00048	0,000	0,000	18,00	0,000	0,00012	0,000	0,000	0,00010	0,000	0,02127	0,000	0,00061	18,00	0,10000	
18,20	0,00078	0,000	0,000	0,00045	0,000	0,000	18,20	0,000	0,00012	0,000	0,000	0,00010	0,000	0,02141	0,000	0,00112	18,20	0,1033	
18,40	-0,00093	0,000	0,000	0,00048	0,000	0,000	18,40	0,000	0,00011	0,000	0,000	0,00011	0,000	0,02167	0,000	-0,00126	18,40	0,1067	
18,60	-0,00406	0,000	0,00011	0,00045	0,000	0,000	18,60	0,000	0,000	0,000	0,000	0,00011	0,000	0,02258	0,000	-0,00564	18,60	0,1100	
18,80	-0,00451	-0,00023	0,000	0,00040	0,00023	0,000	18,80	0,000	0,000	0,000	0,000	0,00011	0,000	0,02049	0,000	-0,00664	18,80	0,1133	
19,00	-0,00029	-0,00025	0,000	0,00040	0,00028	0,000	19,00	0,000	0,000	0,000	0,000	0,00010	0,000	0,01115	0,000	-0,00076	19,00	0,1167	
19,20	-0,02303	-0,00025	0,000	0,00040	0,00028	0,000	19,20	0,000	-0,00033	0,000	0,000	0,000	0,000	0,00230	0,000	-0,03259	19,20	0,1200	
19,40	-0,02839	-0,00026	0,000	0,00041	0,00027	0,000	19,40	0,000	-0,00049	0,000	0,000	0,000	0,000	-0,00137	0,000	-0,04011	19,40	0,1233	
19,60	-0,03218	-0,00025	0,000	0,00039	0,00025	0,000	19,60	0,000	-0,00054	0,000	0,000	0,000	0,000	-0,00194	0,000	-0,04541	19,60	0,1267	
19,80	-0,03026	-0,00025	0,000	0,00041	0,00025	0,000	19,80	0,000	-0,00055	0,000	0,000	0,000	0,000	-0,00187	0,000	-0,04272	19,80	0,1300	
20,00	-0,03046	-0,00028	0,000	0,00041	0,00025	0,000	20,00	0,000	-0,00055	0,000	0,000	0,000	0,000	-0,00187	0,000	-0,04304	20,00	0,1333	
20,20	-0,03033	-0,00022	0,000	0,00042	0,00028	0,000	20,20	0,000	-0,00055	0,000	0,000	0,000	0,000	-0,00192	0,000	-0,04277	20,20	0,1367	
20,40	-0,02608	-0,00026	0,000	0,00042	0,00030	0,000	20,40	0,000	-0,00055	0,000	0,000	0,000	0,000	-0,00195	0,000	-0,03687	20,40	0,1400	
20,60	-0,02231	-0,00026	0,000	0,00043	0,00032	0,000	20,60	0,000	-0,00055	0,000	0,000	0,000	0,000	-0,00198	0,000	-0,03160	20,60	0,1433	
20,80	-0,02456	-0,00024	0,00011	0,00043	0,00031	0,000	20,80	0,000	-0,00055	0,000	0,000	0,000	0,000	-0,00200	0,000	-0,03472	20,80	0,1467	
21,00	-0,02747	-0,00024	0,000	0,00042	0,00029	0,000	21,00	0,000	-0,00054	0,000	0,000	0,000	0,000	-0,00202	0,000	-0,03879	21,00	0,1500	
21,20	-0,03104	-0,00024	0,000	0,00041	0,00030	0,000	21,20	0,000	-0,00054	0,000	0,000	0,000	0,000	-0,00203	0,000	-0,04380	21,20	0,1533	
21,40	-0,02958	-0,00026	0,000	0,00042	0,00027	0,000	21,40	0,000	-0,00054	0,000	0,000	0,000	0,000	-0,00205	0,000	-0,04177	21,40	0,1567	
21,60	-0,03125	-0,00022	0,000	0,00043	0,00030	0,000	21,60	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00208	0,000	-0,04407	21,60	0,1600	
21,80	-0,02971	-0,00024	0,000	0,00044	0,00027	0,000	21,80	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00210	0,000	-0,04193	21,80	0,1633	
22,00	-0,03262	-0,00025	0,000	0,00041	0,00032	0,000	22,00	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00212	0,000	-0,04602	22,00	0,1667	
22,20	-0,02817	-0,00023	0,000	0,00044	0,00028	0,000	22,20	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00213	0,000	-0,03977	22,20	0,1700	
22,40	-0,02820	-0,00023	0,000	0,00045	0,00030	0,000	22,40	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00214	0,000	-0,03980	22,40	0,1733	
22,60	-0,02911	-0,00024	0,000	0,00044	0,00030	0,000	22,60	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00215	0,000	-0,04109	22,60	0,1767	
22,80	-0,02996	-0,00022	0,000	0,00047	0,00030	0,000	22,80	0,000	-0,00053	0,000	0,000	0,00010	0,000	-0,00217	-0,00010	-0,04225	22,80	0,1800	
23,00	-0,03092	-0,00022	0,000	0,00044	0,00030	0,000	23,00	0,000	-0,00053	0,000	0,000	0,00010	0,000	-0,00219	-0,00010	-0,04360	23,00	0,1833	
23,20	-0,02825	-0,00024	0,000	0,00045	0,00029	0,000	23,20	0,000	-0,00053	0,000	0,000	0,00010	0,000	-0,00220	0,000	-0,03989	23,20	0,1867	
23,40	-0,02671	-0,00021	0,000	0,00046	0,00032	0,000	23,40	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00221	0,000	-0,03769	23,40	0,1900	
23,60	-0,02719	-0,00024	0,000	0,00046	0,00031	0,000	23,60	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00223	0,000	-0,03840	23,60	0,1933	
23,80	-0,02991	-0,00026	0,000	0,00047	0,00031	0,000	23,80	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00224	0,000	-0,04224	23,80	0,1967	
24,00	-0,02812	-0,00025	0,000	0,00049	0,00031	0,000	24,00	0,000	-0,00053	0,000	0,000	0,00010	0,000	-0,00226	0,000	-0,03972	24,00	0,2000	
24,20	-0,03313	-0,00025	0,000	0,00048	0,00032	0,000	24,20	0,000	-0,00052	0,000	0,000	0,00011	0,000	-0,00227	0,000	-0,04674	24,20	0,2033	
24,40	-0,03388	-0,00025	0,000	0,00048	0,00031	0,000	24,40	0,000	-0,00052	0,000	0,000	0,00010	0,000	-0,00229	0,000	-0,04778	24,40	0,2067	
24,60	-0,02859	-0,00021	0,000	0,00049	0,00030	0,000	24,60	0,000	-0,00052	0,000	0,000	0,000	0,000	-0,00230	0,000	-0,04032	24,60	0,2100	
24,80	-0,02454	-0,00025	0,000	0,00046	0,00031	0,000	24,80	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00232	0,000	-0,03471	24,80	0,2133	
25,00	-0,03148	-0,00020	0,000	0,00046	0,00031	0,000	25,00	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00234	-0,00011	-0,04436	25,00	0,2167	
25,20	-0,03033	-0,00021	0,000	0,00045	0,00032	0,000	25,20	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00235	-0,00011	-0,04275	25,20	0,2200	
25,40	-0,03240	-0,00023	0,000	0,00050	0,00029	0,000	25,40	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00237	-0,00010	-0,04568	25,40	0,2233	
25,60	-0,02451	-0,00022	0,000	0,00047	0,00032	0,000	25,60	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00238	0,000	-0,03462	25,60	0,2267	
25,80	-0,02471	-0,00027	0,000	0,00049	0,00033	0,000	25,80	0,000	-0,00053	0,000	0,000	0,00010	0,000	-0,00239	0,000	-0,03497	25,80	0,2300	
26,00	-0,03420	-0,00023	0,000	0,00049	0,00032	0,000	26,00	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00241	0,000	-0,04820	26,00	0,2333	
26,20	-0,02819	-0,00024	0,000	0,00047	0,00032	0,000	26,20	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00243	0,000	-0,03980	26,20	0,2367	
26,40	-0,03898	-0,00023	0,000	0,00048	0,00033	0,000	26,40	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00244	0,000	-0,05490	26,40	0,2400	
26,60	-0,03433	-0,00021	0,000	0,00050	0,00032	0,000	26,60	0,000	-0,00053	0,000	0,000	0,000	0,000	-0,00245	0,000	-0,04836	26,60	0,2433	
26,80	-0,03253	-0,00024	0,000	0,00050	0,00032	0,000	26,80	0,000	-0,00052	0,000	0,000	0,00010	0,000	-0,00247	0,000	-0,04588	26,80	0,2467	
27,00	-0,02763	-0,00022	0,000	0,00048	0,00032	0,000	27,00	0,000	-0,00052	0,000	0,000	0,00010	0,000	-0,00248	0,000	-0,03900	27,00	0,2500	
27,20	-0,01286	-0,00024	0,000	0,00048	0,00033	0,000	27,20	0,000	-0,00053	0,000	0,000	0,00010	0,000	-0,00250	0,000	-0,01833	27,20	0,2533	
27,40	-0,01867	-0,00024	0,000	0,00050	0,00033	0,000	27,40	0,000	-0,00053	0,000	0,000	0,00010	0,000	-0,00252	0,000	-0,02647	27,40	0,2567	
27,60	-0,01512	-0,00024	0,000	0,00050	0,00033	0,000	27,60	0,000	-0,00053	0,000	0,000	0,00011	0,000	-0,00254	0,000	-0,02151	27,60	0,2600	
27,80	-0,01294	-0,00024	0,000	0,00048	0,00034	0,000	27,80	0,000	-0,00053	0,000	0,000	0,00011	0,000	-0,00256	0,000	-0,01846	27,80	0,2633	
28,00	-0,01325	-0,00025	0,000	0,00051	0,00035	0,000	28,00	0,000	-0,00053	0,000	0,000	0,00011	0,000	-0,00258	0,000	-0,01890	28,00	0,2667	
28,20	-0,00914	-0,00024	0,000	0,00051	0,00032	0,000	28,20	0,000	-0,00053	0,000	0,000	0,00011	0,000	-0,00260	-0,00010	-0,01313	28,20	0,2700	
28,40	-0,01283	-0,00023	0,000	0,00051	0,00031	0,000	28,40	0,000	-0,00053	0,000	0,000	0,00012	0,000	-0,00262	0,000	-0,01829	28,40	0,2733	
28,60	-0,00725	-0,00023	0,000	0,00052	0,00031	0,000	28,60	0,000	-0,00053	0,000	0,000	0,00012	0,000	-0,00262	0,000	-0,01047	28,60	0,2767	
28,80	-0,00824	-0,00024	0,000	0,00051	0,00034	0,000	28,80	0,000	-0,00053	0,000	0,000	0,00012	0,000	-0,00262	0,000	-0,01186	28,80	0,2800	
29,00	-0,01224	-0,00021	0,000	0,00051	0,00036	0,000	29,00	0,000	-0,00053	0,000	0,000	0,00011	0,000	-0,00263	0,000	-0,01744	29,00	0,2833	
29,20	-0,00896	-0,00024	0,000	0,00052	0,00037	0,000	29,20	0,000	-0,00053	0,000	0,000	0,00012	0,000	-0,00265	-0,00011	-0,01288	29,20	0,2867	
29,40	-0,01302	-0,00024	0,000	0,00052	0,00036	0,000	29,40	0,000	-0,00053	0,000	0,000	0,00012	0,000	-0,00266	-0,00011	-0,01857	29,40	0,2900	
29,60	-0,00750	-0,00020	0,000	0,00049	0,00034	0,000	29,60	0,000	-0,00053	0,000	0,000	0,00012	0,000	-0,00266	-0,00010	-0,01078	29,60	0,2933	
29,80	-0,01028	-0,00022	0,000	0,00051	0,00030	0,000	29,80	0,000	-0,00053	0,000	0,000	0,00012	0,000	-0,00267	0,000	-0,01470	29,80	0,2967	
30,00	-0,01044	-0,00022	0,000	0,00053	0,00034	0,000	30,00	0,000	-0,00052	0,000	0,000	0,00013	0,000	-0,00269	-0,00010	-0,01493	30,00	0,3000	
30,20	-0,00824	-0,00021	0,000	0,00053	0,00034	0,000	30,20	0,000	-0,00052	0,000	0,000	0,00013	0,000	-0,00271	0,000	-0,01184	30,20	0,3033	
