Zeit  1 - Langsame Messrate [s]	KMD1 [kN]	Vorne_links-v-control [mm]	Mitte_rechts-v [mm]	Vorne_rechts_v [mm]	Vorne_rechts_h_0_Grad [mm]	Vorne_mitte_h_0_Grad [mm]	Zeit  2 - Langsame Messrate [s]	Vorne_links_h_0_Grad [mm]	Mitte_h_0_Grad_1 [mm]	Mitte_h_0_Grad_2 [mm]	Mitte_h_90_Grad [mm]	Vorne_mitte_h_90_Grad_1 [mm]	Vorne_mitte_h_90_Grad_2 [mm]	Vorne_v_control [mm]	V_Mitte [mm]	Kraftges [kN]	Zeit [s]	Weg_soll []
0	-0,00362	0,000	0,000	0,00012	0,000	0,000	0	0,000	0,000	0,000	0,000	0,000	0,000	-0,00023	0,000	-0,00504	0	-0,2000	
0,2000	-0,00050	0,000	0,000	0,00015	0,000	0,000	0,2000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00023	0,000	-0,00065	0,2000	-0,1967	
0,4000	-0,00253	0,000	0,000	0,00013	0,000	0,000	0,4000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00345	0,4000	-0,1933	
0,6000	-0,00224	0,000	0,000	0,00013	0,00010	0,000	0,6000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00307	0,6000	-0,1900	
0,8000	-0,00392	0,000	0,000	0,00014	0,000	0,000	0,8000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00540	0,8000	-0,1867	
1,000	-0,00173	0,000	0,000	0,00014	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00239	1,000	-0,1833	
1,200	-0,00559	0,000	0,000	0,00016	0,000	0,000	1,200	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00776	1,200	-0,1800	
1,400	-0,00558	0,000	0,000	0,00015	0,00010	0,000	1,400	0,000	0,000	0,000	0,000	0,000	0,000	-0,00023	0,000	-0,00776	1,400	-0,1767	
1,600	-0,00172	0,000	0,000	0,00015	0,00012	0,000	1,600	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00234	1,600	-0,1733	
1,800	-0,00530	0,000	0,000	0,00015	0,00010	0,000	1,800	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00737	1,800	-0,1700	
2,000	-0,00177	0,000	0,000	0,00012	0,000	0,000	2,000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00024	0,000	-0,00241	2,000	-0,1667	
2,200	-0,00126	0,000	0,00015	0,00014	0,000	0,000	2,200	0,000	0,000	0,000	0,000	0,000	0,000	-0,00025	0,000	-0,00170	2,200	-0,1633	
2,400	-0,00375	0,000	0,00011	0,00017	0,00011	0,000	2,400	0,000	0,000	0,000	0,000	0,000	0,000	-0,00025	0,000	-0,00517	2,400	-0,1600	
2,600	-0,00310	0,000	0,000	0,00015	0,00013	0,000	2,600	0,000	0,000	0,000	0,000	0,000	0,000	-0,00026	0,000	-0,00427	2,600	-0,1567	
2,800	-0,00099	0,000	0,000	0,00015	0,00014	0,000	2,800	0,000	0,000	0,000	0,000	0,000	0,000	-0,00026	-0,00010	-0,00133	2,800	-0,1533	
3,000	-0,00060	0,000	0,000	0,00014	0,00014	0,000	3,000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00026	-0,00010	-0,00073	3,000	-0,1500	
3,200	-0,00303	0,000	0,000	0,00016	0,00012	0,000	3,200	0,000	0,000	0,000	0,000	0,000	0,000	-0,00026	0,000	-0,00420	3,200	-0,1467	
3,400	-0,00603	0,000	0,000	0,00017	0,000	0,000	3,400	0,000	0,000	0,000	0,000	0,000	0,000	-0,00027	0,000	-0,00836	3,400	-0,1433	
3,600	-0,00462	0,000	0,000	0,00018	0,00010	0,000	3,600	0,000	0,000	0,000	0,000	0,000	0,000	-0,00028	0,000	-0,00642	3,600	-0,1400	
3,800	-0,00716	0,000	0,000	0,00018	0,000	0,000	3,800	0,000	0,000	0,000	0,000	0,000	0,000	-0,00028	0,000	-0,00993	3,800	-0,1367	
4,000	-0,00252	0,000	0,000	0,00017	0,00012	0,000	4,000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00028	0,000	-0,00345	4,000	-0,1333	
4,200	-0,00957	0,000	0,000	0,00015	0,00012	0,000	4,200	0,000	0,000	0,000	0,000	0,000	0,000	-0,00028	0,000	-0,01332	4,200	-0,1300	
4,400	-0,00783	0,000	0,000	0,00019	0,00011	0,000	4,400	0,000	0,000	0,000	0,000	0,000	0,000	-0,00027	0,000	-0,01092	4,400	-0,1267	
4,600	-0,00367	0,000	0,000	0,00019	0,000	0,000	4,600	0,000	0,000	0,000	0,000	0,000	0,000	-0,00028	0,000	-0,00504	4,600	-0,1233	
4,800	-0,00737	0,000	0,000	0,00018	0,000	0,000	4,800	0,000	0,000	0,000	0,000	0,000	0,000	-0,00028	0,000	-0,01025	4,800	-0,1200	
5,000	-0,00743	0,000	0,000	0,00016	0,000	0,000	5,000	0,000	0,000	0,000	0,000	0,000	0,000	-0,00028	0,000	-0,01034	5,000	-0,1167	
5,200	-0,00279	0,000	0,000	0,00018	0,00012	0,000	5,200	0,000	0,000	0,000	0,000	0,000	0,000	-0,00029	0,000	-0,00385	5,200	-0,1133	
5,400	-0,00189	0,000	0,000	0,00018	0,00012	0,000	5,400	0,000	0,000	0,000	0,000	0,000	0,000	-0,00019	0,000	-0,00259	5,400	-0,1100	
5,600	-0,00135	0,000	0,000	0,00022	0,000	0,000	5,600	0,000	0,000	0,000	0,000	0,000	0,000	0,00167	0,000	-0,00182	5,600	-0,1067	
5,800	-0,00432	0,000	0,00015	0,00018	0,000	0,000	5,800	0,000	0,000	0,000	0,000	0,000	0,000	0,00765	0,000	-0,00601	5,800	-0,1033	
6,000	-0,00555	0,000	0,000	0,00018	0,000	0,000	6,000	0,000	0,000	0,000	0,000	0,000	0,000	0,01217	0,000	-0,00771	6,000	-0,10000	
6,200	-0,00857	0,000	0,000	0,00020	0,00011	0,000	6,200	0,000	0,000	0,000	0,000	0,000	0,000	0,00942	0,000	-0,01195	6,200	-0,09667	
6,400	-0,00708	0,000	0,000	0,00018	0,000	0,000	6,400	0,000	0,000	0,000	0,000	0,000	0,000	0,00728	0,000	-0,00988	6,400	-0,09333	
6,600	-0,00395	0,000	0,000	0,00021	0,000	0,000	6,600	0,000	0,000	0,000	0,000	0,000	0,000	0,00894	0,000	-0,00548	6,600	-0,09000	
6,800	0,00037	0,000	0,00012	0,00023	0,000	0,000	6,800	0,000	0,000	0,000	0,000	0,000	0,000	0,01282	0,000	0,00058	6,800	-0,08667	
7,000	-0,00313	0,000	0,000	0,00036	0,000	0,000	7,000	0,000	0,000	0,000	0,000	0,000	0,000	0,01816	0,000	-0,00433	7,000	-0,08333	
7,200	-0,00662	0,000	0,00013	0,00028	0,000	0,000	7,200	0,000	0,000	0,000	0,000	0,000	0,000	0,02185	0,000	-0,00921	7,200	-0,08000	
7,400	-0,00274	0,000	0,000	0,00025	0,000	0,000	7,400	0,000	0,000	0,000	0,000	0,000	0,000	0,01724	0,000	-0,00381	7,400	-0,07667	
7,600	-0,00615	0,000	0,000	0,00026	0,000	0,000	7,600	0,000	0,00013	0,000	0,000	0,000	0,000	0,00834	0,000	-0,00859	7,600	-0,07333	
7,800	-0,00379	0,000	0,00012	0,00024	0,00033	0,000	7,800	0,000	0,00016	-0,00012	0,000	0,000	0,000	0,00242	0,000	-0,00533	7,800	-0,07000	
8,000	-0,00703	0,000	0,000	0,00023	0,00011	0,000	8,000	0,000	0,00016	-0,00013	0,000	0,000	0,000	0,00033	0,000	-0,00984	8,000	-0,06667	
8,200	-0,00563	0,000	0,000	0,00025	0,00012	0,000	8,200	0,000	0,00017	-0,00014	0,000	0,000	0,000	0,00010	0,000	-0,00786	8,200	-0,06333	
8,400	-0,00362	0,000	0,000	0,00027	0,00012	0,000	8,400	0,000	0,00017	-0,00013	0,000	0,000	0,000	0,000	0,000	-0,00501	8,400	-0,06000	
8,600	-0,00882	0,000	0,000	0,00036	0,000	0,000	8,600	0,000	0,00016	-0,00012	0,000	0,000	0,000	0,00108	0,000	-0,01230	8,600	-0,05667	
8,800	-0,00338	0,000	0,00012	0,00034	0,000	0,000	8,800	0,000	0,00015	-0,00011	0,000	0,000	0,000	0,00697	0,000	-0,00471	8,800	-0,05333	
9,000	-0,00272	0,000	0,000	0,00035	0,000	0,000	9,000	0,000	0,00014	0,000	0,000	0,000	0,000	0,01255	0,000	-0,00372	9,000	-0,05000	
9,200	-0,00113	0,000	0,000	0,00036	0,000	0,000	9,200	0,000	0,00013	0,000	0,000	0,000	0,000	0,01500	0,000	-0,00155	9,200	-0,04667	
9,400	-0,00302	0,000	0,000	0,00036	0,000	0,000	9,400	0,000	0,00013	0,000	0,000	0,000	0,000	0,01609	0,000	-0,00422	9,400	-0,04333	
