Zeit  1 - Langsame Messrate [s]	KMD1 [kN]	Vorne_links-v-control [mm]	Mitte_rechts-v [mm]	Vorne_rechts_v [mm]	Vorne_rechts_h_0_Grad [mm]	Vorne_mitte_h_0_Grad [mm]	Zeit  2 - Langsame Messrate [s]	Vorne_links_h_0_Grad [mm]	Mitte_h_0_Grad_1 [mm]	Mitte_h_0_Grad_2 [mm]	Mitte_h_90_Grad [mm]	Vorne_mitte_h_90_Grad_1 [mm]	Vorne_mitte_h_90_Grad_2 [mm]	Vorne_v_control [mm]	V_Mitte [mm]	Kraftges [kN]	Zeit [s]	Weg_soll []
0	-0,00232	-0,00211	0,00375	-0,00182	-0,00401	-0,00126	0	0,00011	-0,00054	-0,00027	-0,00028	0,00272	-0,00180	0,00051	-0,00180	-0,00621	0	-0,2000	
0,2000	-0,00433	-0,00213	0,00374	-0,00184	-0,00398	-0,00126	0,2000	0,000	-0,00054	-0,00027	-0,00029	0,00272	-0,00180	0,00051	-0,00181	-0,00904	0,2000	-0,1967	
0,4000	-0,00488	-0,00209	0,00374	-0,00181	-0,00398	-0,00126	0,4000	0,000	-0,00053	-0,00027	-0,00029	0,00272	-0,00180	0,00051	-0,00182	-0,00976	0,4000	-0,1933	
0,6000	-0,00566	-0,00209	0,00377	-0,00183	-0,00400	-0,00126	0,6000	0,00010	-0,00053	-0,00027	-0,00028	0,00272	-0,00181	0,00051	-0,00183	-0,01085	0,6000	-0,1900	
0,8000	-0,00279	-0,00206	0,00381	-0,00183	-0,00400	-0,00126	0,8000	0,00010	-0,00054	-0,00027	-0,00028	0,00272	-0,00181	0,00051	-0,00183	-0,00678	0,8000	-0,1867	
1,000	0,00197	-0,00210	0,00377	-0,00183	-0,00401	-0,00126	1,000	0,000	-0,00054	-0,00027	-0,00028	0,00271	-0,00182	0,00051	-0,00183	-0,00018	1,000	-0,1833	
1,200	-0,00804	-0,00211	0,00380	-0,00183	-0,00400	-0,00126	1,200	0,000	-0,00053	-0,00028	-0,00029	0,00271	-0,00182	0,00051	-0,00182	-0,01421	1,200	-0,1800	
1,400	-0,00428	-0,00220	0,00365	-0,00228	-0,00401	-0,00125	1,400	0,000	-0,00054	-0,00029	-0,00029	0,00272	-0,00182	0,00051	-0,00181	-0,00908	1,400	-0,1767	
1,600	-0,00540	-0,00216	0,00372	-0,00221	-0,00402	-0,00126	1,600	0,000	-0,00054	-0,00029	-0,00029	0,00272	-0,00182	0,00050	-0,00182	-0,01058	1,600	-0,1733	
1,800	-0,00624	-0,00212	0,00370	-0,00180	-0,00403	-0,00126	1,800	0,000	-0,00054	-0,00029	-0,00029	0,00271	-0,00182	0,00050	-0,00183	-0,01171	1,800	-0,1700	
2,000	-0,00354	-0,00213	0,00366	-0,00183	-0,00403	-0,00126	2,000	0,000	-0,00054	-0,00029	-0,00029	0,00271	-0,00182	0,00049	-0,00181	-0,00794	2,000	-0,1667	
2,200	-0,00698	-0,00212	0,00373	-0,00183	-0,00402	-0,00126	2,200	0,000	-0,00055	-0,00029	-0,00029	0,00271	-0,00182	0,00049	-0,00181	-0,01274	2,200	-0,1633	
2,400	0,00055	-0,00212	0,00372	-0,00184	-0,00403	-0,00126	2,400	0,000	-0,00055	-0,00030	-0,00029	0,00271	-0,00182	0,00048	-0,00181	-0,00220	2,400	-0,1600	
2,600	-0,00532	-0,00211	0,00372	-0,00180	-0,00407	-0,00126	2,600	0,000	-0,00055	-0,00030	-0,00029	0,00271	-0,00182	0,00048	-0,00181	-0,01040	2,600	-0,1567	
2,800	-0,00334	-0,00208	0,00377	-0,00181	-0,00405	-0,00126	2,800	0,000	-0,00055	-0,00029	-0,00029	0,00272	-0,00183	0,00047	-0,00182	-0,00760	2,800	-0,1533	
3,000	0,00039	-0,00209	0,00373	-0,00183	-0,00406	-0,00126	3,000	0,000	-0,00055	-0,00029	-0,00028	0,00272	-0,00183	0,00047	-0,00184	-0,00238	3,000	-0,1500	
3,200	-0,00287	-0,00207	0,00374	-0,00184	-0,00405	-0,00126	3,200	0,000	-0,00055	-0,00029	-0,00028	0,00271	-0,00183	0,00047	-0,00186	-0,00691	3,200	-0,1467	
3,400	-0,00347	-0,00209	0,00379	-0,00182	-0,00404	-0,00126	3,400	0,000	-0,00054	-0,00028	-0,00029	0,00271	-0,00183	0,00047	-0,00184	-0,00779	3,400	-0,1433	
3,600	0,00037	-0,00209	0,00371	-0,00184	-0,00408	-0,00126	3,600	0,000	-0,00054	-0,00028	-0,00029	0,00271	-0,00183	0,00047	-0,00183	-0,00242	3,600	-0,1400	
3,800	-0,00398	-0,00210	0,00375	-0,00180	-0,00407	-0,00127	3,800	0,000	-0,00054	-0,00028	-0,00029	0,00271	-0,00182	0,00047	-0,00183	-0,00851	3,800	-0,1367	
4,000	-0,00439	-0,00208	0,00381	-0,00182	-0,00405	-0,00127	4,000	0,000	-0,00055	-0,00028	-0,00029	0,00271	-0,00183	0,00048	-0,00180	-0,00906	4,000	-0,1333	
4,200	-0,00724	-0,00211	0,00382	-0,00182	-0,00406	-0,00127	4,200	0,000	-0,00055	-0,00029	-0,00030	0,00271	-0,00183	0,00048	-0,00180	-0,01309	4,200	-0,1300	
4,400	-0,00354	-0,00207	0,00379	-0,00184	-0,00407	-0,00127	4,400	0,000	-0,00054	-0,00029	-0,00030	0,00271	-0,00183	0,00048	-0,00179	-0,00784	4,400	-0,1267	
4,600	-0,01064	-0,00208	0,00380	-0,00182	-0,00407	-0,00127	4,600	0,000	-0,00054	-0,00029	-0,00029	0,00271	-0,00182	0,00048	-0,00179	-0,01782	4,600	-0,1233	
4,800	-0,00375	-0,00210	0,00380	-0,00183	-0,00408	-0,00127	4,800	0,000	-0,00055	-0,00030	-0,00030	0,00271	-0,00182	0,00048	-0,00179	-0,00820	4,800	-0,1200	
