Zeit  1 - Langsame Messrate [s]	KMD1 [kN]	Vorne_links-v-control [mm]	Mitte_rechts-v [mm]	Vorne_rechts_v [mm]	Vorne_rechts_h_0_Grad [mm]	Vorne_mitte_h_0_Grad [mm]	Zeit  2 - Langsame Messrate [s]	Vorne_links_h_0_Grad [mm]	Mitte_h_0_Grad_1 [mm]	Mitte_h_0_Grad_2 [mm]	Mitte_h_90_Grad [mm]	Vorne_mitte_h_90_Grad_1 [mm]	Vorne_mitte_h_90_Grad_2 [mm]	Vorne_v_control [mm]	V_Mitte [mm]	Kraftges [kN]	Zeit [s]	Weg_soll []
5,000	-0,00339	-0,00211	0,00378	-0,00183	-0,00407	-0,00127	5,000	0,000	-0,00055	-0,00029	-0,00030	0,00271	-0,00182	0,00048	-0,00179	-0,00769	5,000	-0,1167	
5,200	-0,00455	-0,00209	0,00380	-0,00184	-0,00408	-0,00127	5,200	0,000	-0,00055	-0,00029	-0,00029	0,00272	-0,00182	0,00048	-0,00179	-0,00929	5,200	-0,1133	
5,400	-0,00099	-0,00208	0,00381	-0,00180	-0,00407	-0,00127	5,400	0,000	-0,00055	-0,00029	-0,00029	0,00272	-0,00182	0,00048	-0,00177	-0,00429	5,400	-0,1100	
5,600	-0,00644	-0,00210	0,00376	-0,00179	-0,00407	-0,00127	5,600	0,000	-0,00055	-0,00028	-0,00029	0,00272	-0,00182	0,00048	-0,00176	-0,01196	5,600	-0,1067	
5,800	-0,00414	-0,00208	0,00371	-0,00180	-0,00409	-0,00127	5,800	0,000	-0,00055	-0,00029	-0,00030	0,00272	-0,00182	0,00048	-0,00176	-0,00871	5,800	-0,1033	
6,000	-0,00211	-0,00209	0,00373	-0,00182	-0,00406	-0,00126	6,000	0,000	-0,00056	-0,00029	-0,00029	0,00273	-0,00182	0,00048	-0,00178	-0,00588	6,000	-0,10000	
6,200	-0,00341	-0,00208	0,00375	-0,00181	-0,00409	-0,00126	6,200	0,000	-0,00056	-0,00028	-0,00029	0,00272	-0,00181	0,00049	-0,00180	-0,00768	6,200	-0,09667	
6,400	-0,00277	-0,00209	0,00378	-0,00183	-0,00410	-0,00126	6,400	0,000	-0,00056	-0,00028	-0,00030	0,00271	-0,00181	0,00051	-0,00180	-0,00681	6,400	-0,09333	
6,600	0,00192	-0,00208	0,00378	-0,00181	-0,00410	-0,00127	6,600	0,000	-0,00056	-0,00028	-0,00029	0,00271	-0,00181	0,00050	-0,00178	-0,00022	6,600	-0,09000	
6,800	-0,00109	-0,00208	0,00378	-0,00181	-0,00411	-0,00127	6,800	0,000	-0,00056	-0,00028	-0,00029	0,00272	-0,00181	0,00050	-0,00178	-0,00443	6,800	-0,08667	
7,000	-0,00431	-0,00212	0,00376	-0,00180	-0,00411	-0,00127	7,000	0,000	-0,00056	-0,00028	-0,00029	0,00273	-0,00181	0,00050	-0,00180	-0,00900	7,000	-0,08333	
7,200	-0,00178	-0,00209	0,00379	-0,00181	-0,00412	-0,00127	7,200	0,000	-0,00056	-0,00029	-0,00030	0,00273	-0,00182	0,00050	-0,00181	-0,00541	7,200	-0,08000	
7,400	-0,00316	-0,00206	0,00374	-0,00182	-0,00400	-0,00126	7,400	0,000	-0,00056	-0,00029	-0,00030	0,00272	-0,00181	0,00050	-0,00179	-0,00730	7,400	-0,07667	
7,600	-0,00404	-0,00209	0,00376	-0,00180	-0,00409	-0,00126	7,600	0,000	-0,00056	-0,00029	-0,00030	0,00272	-0,00181	0,00050	-0,00180	-0,00858	7,600	-0,07333	
7,800	-0,00113	-0,00207	0,00375	-0,00182	-0,00413	-0,00126	7,800	0,000	-0,00056	-0,00029	-0,00030	0,00272	-0,00181	0,00050	-0,00181	-0,00449	7,800	-0,07000	
8,000	-0,00619	-0,00207	0,00378	-0,00180	-0,00415	-0,00127	8,000	0,000	-0,00056	-0,00028	-0,00030	0,00272	-0,00181	0,00050	-0,00180	-0,01156	8,000	-0,06667	
8,200	-0,00207	-0,00209	0,00373	-0,00181	-0,00414	-0,00127	8,200	0,000	-0,00057	-0,00029	-0,00030	0,00271	-0,00182	0,00050	-0,00181	-0,00582	8,200	-0,06333	
8,400	-0,00437	-0,00210	0,00380	-0,00182	-0,00413	-0,00127	8,400	0,000	-0,00057	-0,00029	-0,00030	0,00271	-0,00182	0,00050	-0,00183	-0,00905	8,400	-0,06000	
8,600	-0,00552	-0,00208	0,00379	-0,00181	-0,00414	-0,00127	8,600	0,000	-0,00057	-0,00029	-0,00030	0,00271	-0,00183	0,00050	-0,00183	-0,01064	8,600	-0,05667	
8,800	-0,00654	-0,00210	0,00380	-0,00182	-0,00415	-0,00127	8,800	0,000	-0,00056	-0,00029	-0,00031	0,00271	-0,00183	0,00049	-0,00182	-0,01210	8,800	-0,05333	
9,000	-0,00459	-0,00206	0,00381	-0,00181	-0,00418	-0,00127	9,000	0,000	-0,00056	-0,00029	-0,00031	0,00271	-0,00182	0,00049	-0,00181	-0,00932	9,000	-0,05000	
9,200	-0,00648	-0,00208	0,00374	-0,00182	-0,00415	-0,00127	9,200	0,000	-0,00057	-0,00029	-0,00030	0,00271	-0,00182	0,00049	-0,00183	-0,01199	9,200	-0,04667	
9,400	-0,00324	-0,00209	0,00380	-0,00183	-0,00415	-0,00127	9,400	0,000	-0,00057	-0,00029	-0,00030	0,00271	-0,00182	0,00049	-0,00184	-0,00747	9,400	-0,04333	
9,600	-0,00450	-0,00207	0,00374	-0,00181	-0,00416	-0,00127	9,600	0,000	-0,00056	-0,00029	-0,00030	0,00270	-0,00182	0,00049	-0,00183	-0,00920	9,600	-0,04000	
9,800	-0,00034	-0,00209	0,00375	-0,00182	-0,00412	-0,00127	9,800	0,000	-0,00057	-0,00029	-0,00030	0,00270	-0,00182	0,00048	-0,00183	-0,00340	9,800	-0,03667	
10,00	-0,00402	-0,00209	0,00376	-0,00183	-0,00415	-0,00127	10,00	0,000	-0,00057	-0,00029	-0,00031	0,00271	-0,00182	0,00048	-0,00184	-0,00856	10,00	-0,03333	
10,20	-0,00963	-0,00208	0,00375	-0,00184	-0,00417	-0,00127	10,20	0,000	-0,00057	-0,00029	-0,00031	0,00271	-0,00182	0,00047	-0,00185	-0,01638	10,20	-0,03000	
10,40	-0,00687	-0,00210	0,00372	-0,00184	-0,00415	-0,00127	10,40	0,000	-0,00057	-0,00029	-0,00031	0,00271	-0,00182	0,00047	-0,00185	-0,01255	10,40	-0,02667	
10,60	-0,00437	-0,00208	0,00377	-0,00181	-0,00417	-0,00127	10,60	0,000	-0,00057	-0,00029	-0,00031	0,00272	-0,00182	0,00047	-0,00184	-0,00903	10,60	-0,02333	
10,80	-0,00642	-0,00208	0,00378	-0,00182	-0,00415	-0,00128	10,80	0,000	-0,00057	-0,00029	-0,00030	0,00272	-0,00182	0,00047	-0,00184	-0,01190	10,80	-0,02000	
11,00	-0,00300	-0,00209	0,00379	-0,00181	-0,00416	-0,00128	11,00	0,000	-0,00057	-0,00029	-0,00029	0,00271	-0,00183	0,00047	-0,00184	-0,00714	11,00	-0,01667	
11,20	-0,00282	-0,00208	0,00369	-0,00181	-0,00419	-0,00128	11,20	0,000	-0,00057	-0,00029	-0,00030	0,00270	-0,00183	0,00047	-0,00182	-0,00686	11,20	-0,01333	
11,40	-0,00366	-0,00208	0,00375	-0,00181	-0,00418	-0,00127	11,40	0,000	-0,00057	-0,00030	-0,00030	0,00271	-0,00183	0,00046	-0,00180	-0,00804	11,40	-0,01000	
11,60	-0,00346	-0,00208	0,00374	-0,00182	-0,00421	-0,00127	11,60	0,000	-0,00057	-0,00030	-0,00030	0,00271	-0,00182	0,00045	-0,00179	-0,00776	11,60	-0,00667	
11,80	-0,00565	-0,00209	0,00377	-0,00182	-0,00417	-0,00127	11,80	0,000	-0,00057	-0,00030	-0,00030	0,00271	-0,00182	0,00045	-0,00180	-0,01083	11,80	-0,00333	
12,00	0,00033	-0,00206	0,00374	-0,00179	-0,00420	-0,00127	12,00	0,000	-0,00057	-0,00029	-0,00030	0,00272	-0,00183	0,00045	-0,00179	-0,00242	12,00	0,000	
12,20	-0,00405	-0,00208	0,00374	-0,00182	-0,00419	-0,00127	12,20	0,000	-0,00057	-0,00029	-0,00031	0,00272	-0,00183	0,00044	-0,00179	-0,00859	12,20	0,00333	
12,40	-0,00535	-0,00206	0,00382	-0,00182	-0,00417	-0,00127	12,40	0,000	-0,00057	-0,00029	-0,00030	0,00271	-0,00183	0,00044	-0,00179	-0,01038	12,40	0,00667	
12,60	-0,00156	-0,00208	0,00381	-0,00180	-0,00420	-0,00127	12,60	0,000	-0,00057	-0,00029	-0,00031	0,00271	-0,00183	0,00043	-0,00180	-0,00510	12,60	0,01000	
12,80	-0,00356	-0,00210	0,00383	-0,00183	-0,00420	-0,00127	12,80	0,000	-0,00057	-0,00029	-0,00031	0,00272	-0,00182	0,00043	-0,00180	-0,00793	12,80	0,01333	
13,00	-0,05771	-0,00208	0,00382	-0,00181	-0,00418	-0,00127	13,00	0,000	-0,00057	-0,00029	-0,00031	0,00271	-0,00182	0,00043	-0,00179	-0,08371	13,00	0,01667	
13,20	-0,06644	-0,00207	0,00388	-0,00183	-0,00420	-0,00125	13,20	0,000	-0,00057	-0,00029	-0,00031	0,00271	-0,00182	0,00042	-0,00178	-0,09592	13,20	0,02000	
13,40	-0,00435	-0,00210	0,00379	-0,00183	-0,00421	-0,00119	13,40	0,000	-0,00057	-0,00029	-0,00031	0,00271	-0,00183	0,00042	-0,00181	-0,00903	13,40	0,02333	
13,60	-0,00554	-0,00208	0,00373	-0,00182	-0,00420	-0,00118	13,60	0,000	-0,00057	-0,00029	-0,00030	0,00272	-0,00182	0,00041	-0,00183	-0,01067	13,60	0,02667	
13,80	-0,00495	-0,00208	0,00371	-0,00182	-0,00421	-0,00123	13,80	0,000	-0,00058	-0,00030	-0,00030	0,00272	-0,00183	0,00040	-0,00183	-0,00983	13,80	0,03000	
14,00	-0,00622	-0,00206	0,00374	-0,00184	-0,00422	-0,00127	14,00	0,000	-0,00057	-0,00030	-0,00031	0,00272	-0,00183	0,00040	-0,00182	-0,01160	14,00	0,03333	
14,20	-0,00855	-0,00208	0,00369	-0,00183	-0,00421	-0,00128	14,20	0,000	-0,00058	-0,00030	-0,00029	0,00273	-0,00183	0,00040	-0,00180	-0,01489	14,20	0,03667	
14,40	-0,01107	-0,00209	0,00375	-0,00181	-0,00422	-0,00127	14,40	0,00016	-0,00061	-0,00034	-0,00019	0,00280	-0,00173	0,00033	-0,00178	-0,01842	14,40	0,04000	
14,60	-0,00886	-0,00211	0,00381	-0,00184	-0,00422	-0,00127	14,60	0,00021	-0,00064	-0,00038	0,000	0,00289	-0,00160	0,00023	-0,00179	-0,01535	14,60	0,04333	
14,80	-0,00624	-0,00208	0,00377	-0,00185	-0,00423	-0,00128	14,80	0,00019	-0,00064	-0,00038	0,000	0,00289	-0,00157	0,00021	-0,00179	-0,01165	14,80	0,04667	
15,00	-0,01044	-0,00206	0,00371	-0,00183	-0,00424	-0,00128	15,00	0,00013	-0,00061	-0,00035	-0,00019	0,00280	-0,00167	0,00027	-0,00180	-0,01750	15,00	0,05000	
15,20	-0,00919	-0,00211	0,00377	-0,00183	-0,00425	-0,00128	15,20	0,000	-0,00058	-0,00032	-0,00028	0,00273	-0,00179	0,00035	-0,00183	-0,01583	15,20	0,05333	
15,40	-0,00482	-0,00207	0,00377	-0,00184	-0,00429	-0,00128	15,40	0,000	-0,00058	-0,00030	-0,00032	0,00271	-0,00184	0,00038	-0,00183	-0,00965	15,40	0,05667	
15,60	-0,00470	-0,00208	0,00378	-0,00181	-0,00426	-0,00128	15,60	0,000	-0,00058	-0,00030	-0,00032	0,00270	-0,00184	0,00039	-0,00180	-0,00949	15,60	0,06000	
15,80	-0,00548	-0,00209	0,00375	-0,00182	-0,00427	-0,00128	15,80	0,000	-0,00058	-0,00031	-0,00031	0,00270	-0,00184	0,00038	-0,00178	-0,01059	15,80	0,06333	
16,00	-0,00428	-0,00207	0,00379	-0,00183	-0,00427	-0,00128	16,00	0,000	-0,00058	-0,00032	-0,00030	0,00270	-0,00184	0,00037	-0,00177	-0,00889	16,00	0,06667	
16,20	-0,00545	-0,00206	0,00372	-0,00185	-0,00425	-0,00128	16,20	0,000	-0,00058	-0,00032	-0,00031	0,00270	-0,00185	0,00038	-0,00177	-0,01051	16,20	0,07000	
16,40	-0,00589	-0,00206	0,00378	-0,00183	-0,00427	-0,00128	16,40	0,000	-0,00058	-0,00031	-0,00032	0,00270	-0,00185	0,00038	-0,00178	-0,01114	16,40	0,07333	
16,60	-0,00817	-0,00208	0,00373	-0,00184	-0,00426	-0,00127	16,60	0,000	-0,00058	-0,00031	-0,00032	0,00271	-0,00184	0,00038	-0,00179	-0,01435	16,60	0,07667	
16,80	-0,00795	-0,00208	0,00371	-0,00183	-0,00428	-0,00128	16,80	0,000	-0,00058	-0,00031	-0,00032	0,00270	-0,00184	0,00037	-0,00181	-0,01405	16,80	0,08000	
17,00	-0,00095	-0,00208	0,00376	-0,00184	-0,00426	-0,00127	17,00	0,000	-0,00059	-0,00031	-0,00032	0,00270	-0,00185	0,00037	-0,00182	-0,00425	17,00	0,08333	
17,20	-0,00319	-0,00206	0,00379	-0,00182	-0,00427	-0,00127	17,20	0,000	-0,00059	-0,00032	-0,00032	0,00270	-0,00185	0,00038	-0,00179	-0,00736	17,20	0,08667	
17,40	-0,00373	-0,00206	0,00378	-0,00184	-0,00427	-0,00128	17,40	0,000	-0,00060	-0,00032	-0,00032	0,00270	-0,00185	0,00039	-0,00178	-0,00811	17,40	0,09000	
17,60	-0,00446	-0,00209	0,00384	-0,00184	-0,00429	-0,00128	17,60	0,000	-0,00059	-0,00032	-0,00033	0,00270	-0,00185	0,00039	-0,00178	-0,00918	17,60	0,09333	
17,80	-0,00851	-0,00208	0,00378	-0,00182	-0,00427	-0,00128	17,80	0,000	-0,00059	-0,00032	-0,00033	0,00270	-0,00185	0,00039	-0,00179	-0,01482	17,80	0,09667	
18,00	-0,00734	-0,00206	0,00374	-0,00184	-0,00429	-0,00128	18,00	0,000	-0,00059	-0,00031	-0,00033	0,00271	-0,00184	0,00039	-0,00179	-0,01317	18,00	0,10000	
18,20	-0,01014	-0,00205	0,00375	-0,00183	-0,00427	-0,00128	18,20	0,000	-0,00059	-0,00032	-0,00033	0,00271	-0,00185	0,00040	-0,00179	-0,01706	18,20	0,1033	
18,40	-0,00099	-0,00210	0,00377	-0,00184	-0,00428	-0,00128	18,40	0,00010	-0,00060	-0,00032	-0,00033	0,00271	-0,00185	0,00040	-0,00178	-0,00433	18,40	0,1067	
18,60	-0,00687	-0,00206	0,00381	-0,00182	-0,00429	-0,00128	18,60	0,00010	-0,00060	-0,00032	-0,00033	0,00271	-0,00184	0,00040	-0,00177	-0,01249	18,60	0,1100	
18,80	-0,00057	-0,00207	0,00380	-0,00186	-0,00425	-0,00128	18,80	0,00011	-0,00060	-0,00031	-0,00033	0,00271	-0,00184	0,00040	-0,00176	-0,00369	18,80	0,1133	
19,00	-0,00809	-0,00208	0,00378	-0,00185	-0,00426	-0,00128	19,00	0,00011	-0,00060	-0,00031	-0,00033	0,00271	-0,00184	0,00041	-0,00177	-0,01422	19,00	0,1167	
19,20	-0,00517	-0,00206	0,00375	-0,00186	-0,00427	-0,00127	19,20	0,00011	-0,00060	-0,00031	-0,00034	0,00271	-0,00184	0,00041	-0,00179	-0,01013	19,20	0,1200	
19,40	-0,00677	-0,00207	0,00376	-0,00184	-0,00428	-0,00127	19,40	0,00012	-0,00060	-0,00031	-0,00034	0,00272	-0,00183	0,00040	-0,00179	-0,01237	19,40	0,1233	
19,60	-0,00633	-0,00206	0,00372	-0,00182	-0,00429	-0,00127	19,60	0,00012	-0,00061	-0,00031	-0,00033	0,00273	-0,00183	0,00041	-0,00177	-0,01174	19,60	0,1267	
19,80	-0,00469	-0,00207	0,00376	-0,00184	-0,00427	-0,00128	19,80	0,00011	-0,00061	-0,00032	-0,00033	0,00272	-0,00183	0,00041	-0,00176	-0,00947	19,80	0,1300	
20,00	-0,00673	-0,00205	0,00382	-0,00183	-0,00427	-0,00128	20,00	0,00011	-0,00062	-0,00032	-0,00034	0,00271	-0,00183	0,00041	-0,00176	-0,01229	20,00	0,1333	
20,20	-0,00420	-0,00208	0,00376	-0,00183	-0,00428	-0,00128	20,20	0,00012	-0,00062	-0,00033	-0,00035	0,00271	-0,00183	0,00042	-0,00177	-0,00880	20,20	0,1367	
20,40	-0,00387	-0,00206	0,00384	-0,00184	-0,00427	-0,00127	20,40	0,00012	-0,00062	-0,00032	-0,00035	0,00272	-0,00183	0,00042	-0,00177	-0,00830	20,40	0,1400	
20,60	-0,00571	-0,00207	0,00377	-0,00184	-0,00426	-0,00127	20,60	0,00012	-0,00063	-0,00033	-0,00035	0,00272	-0,00183	0,00041	-0,00176	-0,01089	20,60	0,1433	
20,80	-0,00906	-0,00205	0,00381	-0,00186	-0,00418	-0,00128	20,80	0,00012	-0,00063	-0,00033	-0,00035	0,00273	-0,00183	0,00036	-0,00176	-0,01556	20,80	0,1467	
21,00	-0,00491	-0,00206	0,00387	-0,00186	-0,00419	-0,00128	21,00	0,00011	-0,00063	-0,00033	-0,00035	0,00273	-0,00183	0,000	-0,00177	-0,00977	21,00	0,1500	
21,20	-0,00655	-0,00207	0,00381	-0,00185	-0,00417	-0,00128	21,20	0,00011	-0,00063	-0,00033	-0,00035	0,00273	-0,00184	-0,00054	-0,00178	-0,01208	21,20	0,1533	
21,40	-0,01081	-0,00206	0,00386	-0,00186	-0,00415	-0,00128	21,40	0,00010	-0,00064	-0,00032	-0,00035	0,00272	-0,00184	-0,00096	-0,00180	-0,01802	21,40	0,1567	
21,60	-0,00036	-0,00205	0,00384	-0,00184	-0,00415	-0,00127	21,60	0,00010	-0,00064	-0,00032	-0,00035	0,00271	-0,00185	-0,00120	-0,00182	-0,00338	21,60	0,1600	
21,80	-0,00924	-0,00207	0,00389	-0,00185	-0,00394	-0,00127	21,80	0,00011	-0,00064	-0,00032	-0,00036	0,00272	-0,00184	-0,00130	-0,00186	-0,01583	21,80	0,1633	
22,00	-0,00622	-0,00206	0,00395	-0,00185	-0,00411	-0,00127	22,00	0,00011	-0,00064	-0,00032	-0,00036	0,00271	-0,00184	-0,00092	-0,00189	-0,01159	22,00	0,1667	
22,20	-0,00947	-0,00206	0,00396	-0,00189	-0,00392	-0,00128	22,20	0,00011	-0,00064	-0,00032	-0,00037	0,00270	-0,00184	0,00078	-0,00193	-0,01614	22,20	0,1700	
22,40	-0,00598	-0,00207	0,00396	-0,00191	-0,00353	-0,00128	22,40	0,00011	-0,00065	-0,00033	-0,00036	0,00270	-0,00184	0,00338	-0,00195	-0,01127	22,40	0,1733	
22,60	-0,00564	-0,00209	0,00390	-0,00220	-0,00279	-0,00127	22,60	0,00011	-0,00065	-0,00035	-0,00035	0,00269	-0,00185	0,00616	-0,00195	-0,01082	22,60	0,1767	
22,80	-0,00703	-0,00208	0,00390	-0,00219	-0,00295	-0,00125	22,80	0,00012	-0,00065	-0,00042	-0,00036	0,00265	-0,00188	0,00931	-0,00196	-0,01277	22,80	0,1800	
23,00	-0,00797	-0,00210	0,00378	-0,00228	-0,00250	-0,00124	23,00	0,00012	-0,00065	-0,00066	-0,00036	0,00259	-0,00191	0,01365	-0,00195	-0,01410	23,00	0,1833	
23,20	-0,00874	-0,00212	0,00362	-0,00240	-0,00243	-0,00123	23,20	0,00013	-0,00066	-0,00161	-0,00037	0,00247	-0,00194	0,01927	-0,00193	-0,01521	23,20	0,1867	
23,40	-0,00691	-0,00227	0,00346	-0,00298	-0,00218	-0,00123	23,40	0,00014	-0,00067	-0,00318	-0,00038	0,00221	-0,00198	0,02392	-0,00193	-0,01286	23,40	0,1900	
23,60	-0,00655	-0,00226	0,00335	-0,00303	-0,00199	-0,00129	23,60	0,00014	-0,00067	-0,00447	-0,00039	0,00198	-0,00203	0,02698	-0,00193	-0,01233	23,60	0,1933	
23,80	-0,00316	-0,00232	0,00336	-0,00295	-0,00236	-0,00140	23,80	0,00015	-0,00067	-0,00532	-0,00039	0,00185	-0,00207	0,02981	-0,00194	-0,00768	23,80	0,1967	
24,00	-0,00548	-0,00228	0,00328	-0,00293	-0,00249	-0,00151	24,00	0,00015	-0,00067	-0,00602	-0,00038	0,00183	-0,00210	0,03238	-0,00195	-0,01087	24,00	0,2000	
24,20	-0,00800	-0,00230	0,00320	-0,00307	-0,00185	-0,00161	24,20	0,00015	-0,00067	-0,00656	-0,00038	0,00185	-0,00211	0,03457	-0,00195	-0,01442	24,20	0,2033	
24,40	-0,01276	-0,00231	0,00287	-0,00308	-0,00199	-0,00169	24,40	0,00015	-0,00067	-0,00702	-0,00038	0,00181	-0,00212	0,03674	-0,00192	-0,02111	24,40	0,2067	
24,60	-0,00616	-0,00228	0,00307	-0,00259	-0,00341	-0,00182	24,60	0,00016	-0,00068	-0,00746	-0,00038	0,00178	-0,00215	0,03864	-0,00191	-0,01181	24,60	0,2100	
24,80	-0,00963	-0,00224	0,00332	-0,00232	-0,00383	-0,00196	24,80	0,00015	-0,00068	-0,00775	-0,00038	0,00186	-0,00215	0,03865	-0,00191	-0,01662	24,80	0,2133	
25,00	-0,00249	-0,00224	0,00341	-0,00233	-0,00393	-0,00205	25,00	0,00013	-0,00068	-0,00786	-0,00038	0,00199	-0,00211	0,03522	-0,00190	-0,00663	25,00	0,2167	
25,20	-0,00535	-0,00228	0,00328	-0,00245	-0,00278	-0,00208	25,20	0,00013	-0,00069	-0,00787	-0,00039	0,00205	-0,00207	0,03322	-0,00190	-0,01067	25,20	0,2200	
25,40	-0,00669	-0,00226	0,00324	-0,00253	-0,00257	-0,00208	25,40	0,00014	-0,00069	-0,00801	-0,00039	0,00202	-0,00207	0,03751	-0,00190	-0,01253	25,40	0,2233	
